,date_01,Time (GPS s),Velocity forward (m/s),Velocity lateral (m/s),Speed horizontal (m/s),Acceleration forward (m/s2),Acceleration lateral (m/s2),Acceleration down (m/s2),Acceleration filtered forward (m/s2),Acceleration filtered lateral (m/s2),Acceleration filtered down (m/s2),date,jerkRT,speedOpt,accLongOptFilt,accLatOptFilt,jerkOptFilt,speedOptKPH
0,1900-01-01 11:54:16,1368414780,-0.011772834,-0.005572286,0.046889914,-0.006804301,-0.025241697,-9.766979769,-0.004101528,0.005967204,-9.783050798,12:41.8,0.002951777,0.020745809610974775,-0.022562392267339013,-0.025686622902517546,0.0036471927668475872,0.0746849145995092
1,1900-01-01 11:54:17,1368414780,-0.009630296,-0.006071853,0.0409847,0.012816829,-0.013361585,-9.801867924,0.010266811,-0.004640089,-9.787165213,12:41.9,0.013732162,0.014560444332610256,-0.022997123089218342,-0.024810650629432933,0.0034744691893320145,0.05241759959739692
2,1900-01-01 11:54:18,1368414780,-0.009166152,-0.006282647,0.04000538,-0.014306039,0.005711184,-9.788216624,-0.008904397,-0.00594729,-9.795877561,12:42.0,0.021870986,0.008222866389203455,-0.023414846946304926,-0.0239365677415141,0.003320791542514462,0.029602319001132436
3,1900-01-01 11:54:19,1368414780,-0.00882845,-0.006156174,0.038746437,-0.003460967,0.00757947,-9.773437811,-0.01071522,0.000796959,-9.776926354,12:42.1,-0.012756235,0.0017386367381611956,-0.023813902651493163,-0.023065251551116703,0.0031868590526582404,0.0062590922573803045
4,1900-01-01 11:54:20,1368414780,-0.007429668,-0.004120683,0.030585173,0.015346229,0.019683888,-9.81561889,0.001875988,0.019263717,-9.790567485,12:42.2,-0.009788733,-0.004886145294961413,-0.024192588632919065,-0.022197572456367783,0.0030733515093779398,-0.017590123061861085
5,1900-01-01 11:54:21,1368414780,-0.006176729,-0.003591381,0.025721742,-0.041554212,-0.002223605,-9.749204755,-0.002576396,0.0032646,-9.788340859,12:42.3,0.008111981,-0.01164482867953495,-0.024549164329461644,-0.021334391113908956,0.0029809275183956697,-0.04192138324632582
6,1900-01-01 11:54:22,1368414780,-0.005325607,-0.005227611,0.026865264,-0.008749439,-0.020702401,-9.78962808,-0.004014555,-0.019610051,-9.78871027,12:42.4,0.010120054,-0.018530197592372448,-0.02488185173133248,-0.020476555823286734,0.002910222769546719,-0.06670871133254082
7,1900-01-01 11:54:23,1368414781,-0.004403513,-0.005237277,0.024633051,-0.021025977,0.021206322,-9.761940107,-0.004411764,0.002176988,-9.784591914,12:42.5,0.004128436,-0.025534458597968067,-0.025188837037551547,-0.019624900116577672,0.002861848333467108,-0.09192405095268505
8,1900-01-01 11:54:24,1368414781,-0.003199702,-0.003156249,0.016179988,0.0094566,-0.003820101,-9.791861067,-0.007095873,0.01513129,-9.784088787,12:42.6,-0.010425969,-0.032649228119021066,-0.025468272391099993,-0.018780240515631253,0.0028363889656326967,-0.11753722122847585
9,1900-01-01 11:54:25,1368414781,-0.001534549,-0.002620145,0.010931203,0.046409548,-0.010890426,-9.831971001,0.008376694,-0.002847821,-9.789619405,12:42.7,-0.000492807,-0.03986552022560925,-0.025718277689845987,-0.017943374433477502,0.0028344014031361363,-0.1435158728121933
10,1900-01-01 11:54:26,1368414781,0.001120518,-0.001801233,0.007636753,-0.026303037,0.01712563,-9.774889433,-0.004948666,0.001742292,-9.791244202,12:42.8,0.023936597,-0.04717373476808393,-0.02593694253548363,-0.017115078219602998,0.002856412666718735,-0.16982544516510215
11,1900-01-01 11:54:27,1368414781,0.001795641,-0.001547796,0.008534354,-0.054045406,0.02521268,-9.753995298,-0.012068255,-0.002291705,-9.781073471,12:42.9,-0.007215353,-0.054563645871434946,-0.026122328396736214,-0.016296105350389434,0.0029029183776793084,-0.19642912513716582
12,1900-01-01 11:54:28,1368414781,0.003775621,-0.000982184,0.014044615,-0.008209841,0.005692529,-9.77668073,0.003149129,0.004477746,-9.788032654,12:43.0,-0.016770611,-0.06202439081137302,-0.026272470982300133,-0.015487184777382632,0.0029743810764724372,-0.22328780692094288
13,1900-01-01 11:54:29,1368414781,0.005368741,0.001008276,0.01966536,-0.009168797,0.010116732,-9.771539195,0.009279832,0.008587416,-9.789295449,12:43.1,0.02562024,-0.06954445930856366,-0.026385382726444757,-0.014689019467543658,0.003071228536133556,-0.2503600535108292
14,1900-01-01 11:54:30,1368414781,0.005475508,0.001907567,0.020873792,-0.009045615,-0.00997973,-9.78645314,-0.015214364,0.002959802,-9.786436133,12:43.2,0.014304322,-0.07711168329972731,-0.026459055308055313,-0.013902285155385509,0.0031938520835338947,-0.2776020598790183
15,1900-01-01 11:54:31,1368414781,0.006809656,0.001904883,0.025455844,-0.005510218,0.001412148,-9.776434915,0.001871781,-0.00794416,-9.787434649,12:43.3,-0.028889104,-0.08471322726165656,-0.02649146221451472,-0.013127629284054127,0.003342604926392878,-0.3049676181419636
16,1900-01-01 11:54:32,1368414781,0.008656008,0.003220797,0.03324888,-0.018266404,-0.001539791,-9.797587664,0.006731538,0.007431014,-9.79493552,12:43.4,-0.00832103,-0.09233557917094219,-0.026480561400989096,-0.012365670088383015,0.0035178004716177416,-0.3324080850153919
17,1900-01-01 11:54:33,1368414782,0.009911012,0.005085455,0.040102449,-0.01865786,-0.023768829,-9.771299567,-0.001346341,0.016427364,-9.783345158,12:43.5,0.029568713,-0.09996454218414637,-0.026424298069579587,-0.011616995778712797,0.0037197106546028222,-0.35987235186292693
18,1900-01-01 11:54:34,1368414782,0.009349519,0.005318505,0.038723016,-0.035214659,0.000212354,-9.777164823,-0.015113802,-0.005397644,-9.7765586,12:43.6,0.002590972,-0.10758522712803233,-0.026320607557513063,-0.010882163794929572,0.003948564312261238,-0.3873068176609164
19,1900-01-01 11:54:35,1368414782,0.010362111,0.00569883,0.042572949,0.018608176,0.006195868,-9.81200236,0.000858239,-0.006693267,-9.800307151,12:43.7,-0.022147202,-0.1151820458930261,-0.026167418305558396,-0.010161700103933176,0.004204545587508247,-0.41465536521489393
20,1900-01-01 11:54:36,1368414782,0.013081052,0.00855664,0.056271812,0.024962805,0.019191003,-9.790908804,0.015367891,0.011666674,-9.788068032,12:43.8,0.012827854,-0.12273870581893329,-0.025962654895279234,-0.009456098531491727,0.004487792335218299,-0.4418593409481598
21,1900-01-01 11:54:37,1368414782,0.014524399,0.010787578,0.065132149,0.009051761,0.00212847,-9.786899304,-0.0041736,0.020094362,-9.774912573,12:43.9,0.020101841,-0.13023820515921944,-0.02570424120186037,-0.008765820156053407,0.004798394536403123,-0.46885753857319
22,1900-01-01 11:54:38,1368414782,0.014621729,0.010764991,0.065365532,-0.015711132,0.007725584,-9.794366898,-0.012588406,-0.011193657,-9.792792192,12:44.0,-0.016588941,-0.13766282972003216,-0.02539010375061075,-0.008091292809249907,0.005136392736046,-0.49558618699211576
23,1900-01-01 11:54:39,1368414782,0.015469047,0.010875597,0.068074277,0.000789416,0.013078974,-9.782142123,0.008956117,-0.00997899,-9.796883659,12:44.1,-0.015792167,-0.14499415078153496,-0.025018175328176018,-0.007432910706773505,0.005501776495978552,-0.5219789428135259
24,1900-01-01 11:54:40,1368414782,0.016724064,0.012739925,0.075685666,0.016268416,0.006726385,-9.782261151,-0.003109839,0.023609977,-9.765207402,12:44.2,0.01562389,-0.15221302440468018,-0.024586398826935803,-0.006791034207264478,0.0058944828672547345,-0.5479668878568487
25,1900-01-01 11:54:41,1368414782,0.017963718,0.014093787,0.082197547,-0.021229665,0.014767953,-9.796158988,0.002747027,0.006974235,-9.805903822,12:44.3,0.010399774,-0.15929959221294301,-0.0240927312819082,-0.006165989693212323,0.006314394912137602,-0.5734785319665948
26,1900-01-01 11:54:42,1368414782,0.01728131,0.014253291,0.080643214,0.009079696,-0.011376952,-9.771272215,-0.007344904,-0.010420968,-9.781389785,12:44.4,-0.010315444,-0.1662332837333067,-0.023535148086921833,-0.00555806957232438,0.006761340282492695,-0.5984398214399042
27,1900-01-01 11:54:43,1368414783,0.01907245,0.014453084,0.086148384,0.00461823,0.012979018,-9.791784693,0.006206788,0.006854583,-9.777221362,12:44.5,-0.002896933,-0.1729928203823206,-0.022911647387767662,-0.004967532389943964,0.007235089831147832,-0.6227741533763542
28,1900-01-01 11:54:44,1368414783,0.018789218,0.015443293,0.087557003,0.025665371,-0.019312581,-9.810622644,0.000560697,0.007822777,-9.800044128,12:44.6,0.003340747,-0.17955622117926404,-0.022220254649351883,-0.004394603028169984,0.00773535625078461,-0.6464023962453506
29,1900-01-01 11:54:45,1368414783,0.018993139,0.016319947,0.090149636,-0.01454738,0.047398086,-9.782556591,-0.005029863,0.009614108,-9.780157409,12:44.7,0.004335355,-0.18590081026015623,-0.02145902741229902,-0.003839472965000935,0.008261792760997286,-0.6692429169365625
