cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system,longAccel,latAccel
97800,2023-12-04T02:45:13.188Z,31.15427697,121.4811039,27.79747906,14.23104982,14.29506433,8738,9913.188871,24.86,3,MSLV,-0.326793111,0.917157183
97900,2023-12-04T02:45:13.208Z,31.15427465,121.4811051,27.81635184,14.23888002,14.28502562,8738,9913.208949,24.86,3,MSLV,-0.318944844,0.911390887
98000,2023-12-04T02:45:13.229Z,31.15427232,121.4811062,27.83522461,14.24671021,14.27498691,8738,9913.229026,24.86,3,MSLV,-0.319784173,0.920383693
98100,2023-12-04T02:45:13.249Z,31.15426999,121.4811073,27.85409738,14.2545404,14.2649482,8738,9913.249104,24.86,3,MSLV,-0.326012874,0.929698347
98200,2023-12-04T02:45:13.269Z,31.15426766,121.4811084,27.87297016,14.2623706,14.25490949,8738,9913.269181,24.86,3,MSLV,-0.330335731,0.90971223
98300,2023-12-04T02:45:13.211Z,31.15427477,121.481106,27.73441926,14.27390258,14.23902584,8738,9913.211326,26.75473409,3.097415635,MSLV,-0.323741007,0.904916067
98400,2023-12-04T02:45:13.392Z,31.15425299,121.4811144,28.07774312,14.27410336,14.24103359,8738,9913.392023,22.84967619,2.896641449,MSLV,-0.312470024,0.916426859
98500,2023-12-04T02:45:13.572Z,31.1542312,121.4811228,28.42106698,14.27430413,14.24304133,8738,9913.572719,18.94461829,2.695867264,MSLV,-0.32529976,0.915707434
98600,2023-12-04T02:45:13.753Z,31.15420942,121.4811311,28.76439084,14.27450491,14.24504907,8738,9913.753416,15.03956038,2.495093079,MSLV,-0.336810552,0.909592326
98700,2023-12-04T02:45:13.934Z,31.15418763,121.4811395,29.10771469,14.27470568,14.24705681,8738,9913.934113,11.13450248,2.294318894,MSLV,-0.332134293,0.911270983
98800,2023-12-04T02:45:14.152Z,31.15416177,121.4811497,29.65364561,14.24440641,14.23609382,8738,9914.152646,5.41,2,MSLV,-0.313549161,0.920383693
98900,2023-12-04T02:45:14.252Z,31.15414846,121.4811537,29.42667614,14.33162702,14.25188106,8738,9914.252135,5.41,2,MSLV,-0.325508015,0.891202827
99000,2023-12-04T02:45:14.350Z,31.15413602,121.4811588,29.49475465,14.35484114,14.33052482,8738,9914.351624,5.41,2,MSLV,-0.322901679,0.913189448
99100,2023-12-04T02:45:14.449Z,31.15412378,121.4811638,30.02353678,14.32850749,14.35521131,8738,9914.451113,5.41,2,MSLV,-0.329616307,0.943165468
99200,2023-12-04T02:45:14.550Z,31.15411094,121.4811691,30.40274908,14.44189722,14.32160217,8738,9914.550602,5.41,2,MSLV,-0.316306954,0.909832134
99300,2023-12-04T02:45:14.650Z,31.1540983,121.4811742,30.6966894,14.4922311,14.44065472,8738,9914.650091,5.41,2,MSLV,-0.340767386,0.882014388
99400,2023-12-04T02:45:14.750Z,31.15408507,121.4811786,30.72606079,14.5687727,14.50034813,8738,9914.74958,5.41,2,MSLV,-0.313309353,0.906954436
99500,2023-12-04T02:45:14.847Z,31.15407169,121.4811835,30.87784691,14.65997092,14.56503462,8738,9914.84857,5.41,2,MSLV,-0.299160671,0.940047962
99600,2023-12-04T02:45:14.950Z,31.15405881,121.4811875,31.53517838,14.60658393,14.66017669,8738,9914.950063,5.41,2,MSLV,-0.333093525,0.912589928
99700,2023-12-04T02:45:15.048Z,31.15404577,121.4811914,31.57552228,14.58411432,14.61019054,8738,9915.048047,5.41,2,MSLV,-0.367285119,0.88236779
99800,2023-12-04T02:45:15.147Z,31.15403258,121.481195,32.15027596,14.56392732,14.58518169,8738,9915.147183,5.41,2,MSLV,-0.309952038,0.908273381
99900,2023-12-04T02:45:15.247Z,31.15401986,121.4812001,32.41382169,14.5710329,14.57,8738,9915.247355,5.41,2,MSLV,-0.290527578,0.932134293
100000,2023-12-04T02:45:15.346Z,31.15400703,121.4812052,32.69656858,14.58189773,14.57,8738,9915.347527,5.41,2,MSLV,-0.330335731,0.908033573
100100,2023-12-04T02:45:15.446Z,31.15399462,121.4812101,32.87385124,14.52868773,14.58539034,8738,9915.447699,5.41,2,MSLV,-0.361510791,0.884892086
100200,2023-12-04T02:45:15.547Z,31.15398184,121.4812155,33.04059608,14.5716468,14.52466124,8738,9915.547871,5.41,2,MSLV,-0.326258993,0.907673861
100300,2023-12-04T02:45:15.648Z,31.15396917,121.4812206,33.47356115,14.56372017,14.58019146,8738,9915.648043,5.41,2,MSLV,-0.294604317,0.925659472
100400,2023-12-04T02:45:15.748Z,31.1539567,121.4812254,33.75569631,14.51833508,14.56015707,8738,9915.748215,5.41,2,MSLV,-0.312255459,0.904834028
100500,2023-12-04T02:45:15.846Z,31.15394408,121.4812308,34.17151553,14.5484816,14.51987732,8738,9915.84788,5.41,2,MSLV,-0.354556355,0.893165468
100600,2023-12-04T02:45:15.950Z,31.15393146,121.481236,34.74079243,14.55552207,14.55,8738,9915.950063,5.41,2,MSLV,-0.334772182,0.911270983
100700,2023-12-04T02:45:16.048Z,31.15391873,121.4812409,34.75786672,14.54297304,14.55,8738,9916.04873,5.41,2,MSLV,-0.308153477,0.924340528
100800,2023-12-04T02:45:15.898Z,31.15393747,121.4812332,31.69017952,14.56952245,14.56001952,8738,9915.898414,-41.97233098,2,MSLV,-0.305995204,0.90383693
100900,2023-12-04T02:45:16.775Z,31.1538285,121.4812809,35.25704154,14.535,14.53,8738,9916.775038,99.99,2.479230769,MSLV,-0.341606715,0.895083933
101000,2023-12-04T02:45:16.822Z,31.15382249,121.4812831,35.25896462,14.535,14.53,8738,9916.823115,99.99,1.517692308,MSLV,-0.335731415,0.920023981
101100,2023-12-04T02:45:16.869Z,31.15381648,121.4812852,35.26088769,14.535,14.53,8738,9916.870914,99.99,0,MSLV,-0.319184652,0.921223022
101200,2023-12-04T02:45:16.918Z,31.15381047,121.4812874,35.26281077,14.535,14.53,8738,9916.919472,99.99,0,MSLV,-0.307333081,0.898649501
101300,2023-12-04T02:45:16.968Z,31.15380446,121.4812896,35.26441731,14.535,14.53,8738,9916.968663,99.99,0,MSLV,-0.323021583,0.89676259
101400,2023-12-04T02:45:17.016Z,31.15379845,121.4812917,35.26682115,14.535,14.53,8738,9917.016259,99.99,0,MSLV,-0.33705036,0.915947242
101500,2023-12-04T02:45:17.063Z,31.15379247,121.4812939,35.26958,14.535,14.53,8738,9917.0635,99.99,0,MSLV,-0.328417266,0.913549161
101600,2023-12-04T02:45:17.111Z,31.15378642,121.4812961,35.27150308,14.535,14.53,8738,9917.111577,99.99,0,MSLV,-0.312230216,0.900719424
101700,2023-12-04T02:45:17.117Z,31.15378157,121.4812979,35.27292381,14.61044363,14.60541767,8738,9917.117509,99.99,0,MSLV,-0.320863309,0.905395683
101800,2023-12-04T02:45:17.217Z,31.15377403,121.4813006,35.2754607,14.51825933,14.51326509,8738,9917.217082,99.99,0,MSLV,-0.334292566,0.916426859
101900,2023-12-04T02:45:17.316Z,31.15376649,121.4813033,35.27799759,14.42607504,14.42111251,8738,9917.316655,99.99,0,MSLV,-0.331294964,0.912230216
102000,2023-12-04T02:45:17.416Z,31.15375894,121.481306,35.28053448,14.33389074,14.32895993,8738,9917.416228,99.99,0,MSLV,-0.320711852,0.897008709
102100,2023-12-04T02:45:17.515Z,31.1537514,121.4813087,35.28307137,14.24170645,14.23680734,8738,9917.515801,99.99,0,MSLV,-0.308633094,0.906834532
102200,2023-12-04T02:45:17.615Z,31.15374385,121.4813115,35.28560827,14.14952216,14.14465476,8738,9917.615374,99.99,0,MSLV,-0.326858513,0.913069544
102300,2023-12-04T02:45:17.714Z,31.15373631,121.4813142,35.28814516,14.05733786,14.05250218,8738,9917.714947,99.99,0,MSLV,-0.327338129,0.91618705
102400,2023-12-04T02:45:17.814Z,31.15372876,121.4813169,35.29068205,13.96515357,13.96034959,8738,9917.81452,99.99,0,MSLV,-0.320623501,0.899640288
102500,2023-12-04T02:45:17.914Z,31.15372122,121.4813196,35.29321894,13.87296927,13.86819701,8738,9917.914093,99.99,0,MSLV,-0.308513189,0.900839329
102600,2023-12-04T02:45:18.013Z,31.15371367,121.4813223,35.29575583,13.78078498,13.77604443,8738,9918.013666,99.99,0,MSLV,-0.32146283,0.911151079
102700,2023-12-04T02:45:18.113Z,31.15370613,121.481325,35.29829272,13.68860069,13.68389185,8738,9918.113239,99.99,0,MSLV,-0.33381295,0.911870504
102800,2023-12-04T02:45:18.212Z,31.15369858,121.4813278,35.30082961,13.59641639,13.59173926,8738,9918.212812,99.99,0,MSLV,-0.323741007,0.893222264
102900,2023-12-04T02:45:18.312Z,31.15369104,121.4813305,35.30336651,13.5042321,13.49958668,8738,9918.312385,99.99,0,MSLV,-0.312230216,0.901318945
103000,2023-12-04T02:45:18.411Z,31.15368349,121.4813332,35.3059034,13.4120478,13.4074341,8738,9918.411958,99.99,0,MSLV,-0.316067146,0.913309353
103100,2023-12-04T02:45:18.511Z,31.15367595,121.4813359,35.30844029,13.31986351,13.31528151,8738,9918.511531,99.99,0,MSLV,-0.32853717,0.909472422
103200,2023-12-04T02:45:18.611Z,31.1536684,121.4813386,35.31097718,13.22767922,13.22312893,8738,9918.611104,99.99,0,MSLV,-0.329136691,0.898800959
103300,2023-12-04T02:45:18.710Z,31.15366086,121.4813413,35.31351407,13.13549492,13.13097635,8738,9918.710677,99.99,0,MSLV,-0.321582734,0.908273381
103400,2023-12-04T02:45:18.810Z,31.15365331,121.4813441,35.31605096,13.04331063,13.03882377,8738,9918.81025,99.99,0,MSLV,-0.322182254,0.908633094
103500,2023-12-04T02:45:18.909Z,31.15364577,121.4813468,35.31858785,12.95112633,12.94667118,8738,9918.909823,99.99,0,MSLV,-0.330430393,0.907863183
103600,2023-12-04T02:45:19.009Z,31.15363823,121.4813495,35.32112475,12.85894204,12.8545186,8738,9919.009396,99.99,0,MSLV,-0.330335731,0.90647482
103700,2023-12-04T02:45:19.108Z,31.15363068,121.4813522,35.32366164,12.76675775,12.76236602,8738,9919.108969,99.99,0,MSLV,-0.313429257,0.908752998
103800,2023-12-04T02:45:19.208Z,31.15362314,121.4813549,35.32619853,12.67457345,12.67021343,8738,9919.208542,99.99,0,MSLV,-0.323261391,0.902038369
103900,2023-12-04T02:45:19.307Z,31.15361559,121.4813576,35.32873542,12.58238916,12.57806085,8738,9919.308115,99.99,0,MSLV,-0.327218225,0.894964029
104000,2023-12-04T02:45:19.407Z,31.15360805,121.4813604,35.33127231,12.49020486,12.48590827,8738,9919.407688,99.99,0,MSLV,-0.325419664,0.916546763
104100,2023-12-04T02:45:19.507Z,31.1536005,121.4813631,35.3338092,12.39802057,12.39375569,8738,9919.507261,99.99,0,MSLV,-0.314868106,0.909952038
104200,2023-12-04T02:45:19.606Z,31.15359296,121.4813658,35.33634609,12.30583628,12.3016031,8738,9919.606834,99.99,0,MSLV,-0.322541966,0.898920863
104300,2023-12-04T02:45:19.706Z,31.15358541,121.4813685,35.33888299,12.21365198,12.20945052,8738,9919.706407,99.99,0,MSLV,-0.328032311,0.895620346
104400,2023-12-04T02:45:19.805Z,31.15357787,121.4813712,35.34141988,12.12146769,12.11729794,8738,9919.80598,99.99,0,MSLV,-0.330215827,0.919544365
